"DIRECTION","TEACHER","ASSESSMENT "
"Web Developer","Yakovleva Polina Artemovna","5"
"Mobile App Developer","Smirnova Kira Dmitrievna","3"
"Mobile App Developer","Bogdanova Sofia Mikhailovna","5"
"Mobile App Developer","Danilov Nikolay Vladislavovich","5"
"Web Developer","Pankratov Mikhail Mikhailovich","3"
"Software Developer","Morozova Sofya Leonidovna","3"
"Database Administrator","Ryabov Dmitry Mikhailovich","5"
"Machine Learning Engineer","Sokolov Yaroslav Vadimovich","4"
"Database Administrator","Popov Ilya Mikhailovich","4"
"Database Administrator","Lebedeva Victoria Konstantinovna","4"
"Database Administrator","Danilov Ermolai Natanovich","3"
"Web Developer","Maximov Eldar Demyanovich","5"
"Machine Learning Engineer","Dementyev Vilen Albertovich","4"
"Software Developer","Petukhov Arkady Matveyevich","4"
"Cybersecurity Analyst","Evseev Adolf Damirovich","5"
"Web Developer","Emelyanov Terenty Kirillovich","3"
"Cybersecurity Analyst","Pavlov Miron Anatolyevich","5"
"Mobile App Developer","Ovchinnikova Yulanta Sozonovna","3"
"Cybersecurity Analyst","Bobyleva Emma Arsentievna","3"
"Web Developer","Fadeeva Yanita Ulebovna","4"
"Web Developer","Yakovleva Polina Artemovna","5"
"Database Administrator","Smirnova Kira Dmitrievna","4"
"Web Developer","Bogdanova Sofia Mikhailovna","4"
"Software Developer","Danilov Nikolay Vladislavovich","5"
"Database Administrator","Pankratov Mikhail Mikhailovich","3"
"Software Developer","Morozova Sofya Leonidovna","4"
"Machine Learning Engineer","Ryabov Dmitry Mikhailovich","5"
"Mobile App Developer","Sokolov Yaroslav Vadimovich","3"
"Machine Learning Engineer","Popov Ilya Mikhailovich","4"
"Cybersecurity Analyst","Lebedeva Victoria Konstantinovna","3"
"Database Administrator","Danilov Ermolai Natanovich","3"
"Cybersecurity Analyst","Maximov Eldar Demyanovich","4"
"Database Administrator","Dementyev Vilen Albertovich","3"
"Mobile App Developer","Petukhov Arkady Matveyevich","5"
"Machine Learning Engineer","Evseev Adolf Damirovich","3"
"Mobile App Developer","Emelyanov Terenty Kirillovich","3"
"Cybersecurity Analyst","Pavlov Miron Anatolyevich","4"
"Web Developer","Ovchinnikova Yulanta Sozonovna","5"
"Cybersecurity Analyst","Bobyleva Emma Arsentievna","5"
"Software Developer","Fadeeva Yanita Ulebovna","3"
"Machine Learning Engineer","Yakovleva Polina Artemovna","3"
"Software Developer","Smirnova Kira Dmitrievna","4"
"Web Developer","Bogdanova Sofia Mikhailovna","4"
"Web Developer","Danilov Nikolay Vladislavovich","4"
"Machine Learning Engineer","Pankratov Mikhail Mikhailovich","3"
"Machine Learning Engineer","Morozova Sofya Leonidovna","3"
"Web Developer","Ryabov Dmitry Mikhailovich","5"
"Machine Learning Engineer","Sokolov Yaroslav Vadimovich","4"
"Machine Learning Engineer","Popov Ilya Mikhailovich","4"
"Cybersecurity Analyst","Lebedeva Victoria Konstantinovna","4"
"Machine Learning Engineer","Danilov Ermolai Natanovich","3"
"Database Administrator","Maximov Eldar Demyanovich","4"
"Database Administrator","Dementyev Vilen Albertovich","5"
"Database Administrator","Petukhov Arkady Matveyevich","5"
"Software Developer","Evseev Adolf Damirovich","5"
"Cybersecurity Analyst","Emelyanov Terenty Kirillovich","5"
"Database Administrator","Pavlov Miron Anatolyevich","3"
"Machine Learning Engineer","Ovchinnikova Yulanta Sozonovna","5"
"Machine Learning Engineer","Bobyleva Emma Arsentievna","4"
"Mobile App Developer","Fadeeva Yanita Ulebovna","3"
"Software Developer","Yakovleva Polina Artemovna","3"
"Machine Learning Engineer","Smirnova Kira Dmitrievna","4"
"Machine Learning Engineer","Bogdanova Sofia Mikhailovna","4"
"Software Developer","Danilov Nikolay Vladislavovich","4"
"Software Developer","Pankratov Mikhail Mikhailovich","3"
"Database Administrator","Morozova Sofya Leonidovna","4"
"Software Developer","Ryabov Dmitry Mikhailovich","3"
"Mobile App Developer","Sokolov Yaroslav Vadimovich","5"
"Software Developer","Popov Ilya Mikhailovich","3"
"Software Developer","Lebedeva Victoria Konstantinovna","5"
"Web Developer","Danilov Ermolai Natanovich","3"
"Cybersecurity Analyst","Maximov Eldar Demyanovich","3"
"Machine Learning Engineer","Dementyev Vilen Albertovich","3"
"Software Developer","Petukhov Arkady Matveyevich","5"
"Web Developer","Evseev Adolf Damirovich","4"
"Web Developer","Emelyanov Terenty Kirillovich","4"
"Mobile App Developer","Pavlov Miron Anatolyevich","3"
"Database Administrator","Ovchinnikova Yulanta Sozonovna","4"
"Web Developer","Bobyleva Emma Arsentievna","4"
"Database Administrator","Fadeeva Yanita Ulebovna","3"
"Database Administrator","Yakovleva Polina Artemovna","4"
"Mobile App Developer","Smirnova Kira Dmitrievna","5"
"Mobile App Developer","Bogdanova Sofia Mikhailovna","4"
"Software Developer","Danilov Nikolay Vladislavovich","5"
"Mobile App Developer","Pankratov Mikhail Mikhailovich","4"
"Machine Learning Engineer","Morozova Sofya Leonidovna","3"
"Mobile App Developer","Ryabov Dmitry Mikhailovich","3"
"Machine Learning Engineer","Sokolov Yaroslav Vadimovich","5"
"Cybersecurity Analyst","Popov Ilya Mikhailovich","3"
"Database Administrator","Lebedeva Victoria Konstantinovna","5"
"Software Developer","Danilov Ermolai Natanovich","5"
"Cybersecurity Analyst","Maximov Eldar Demyanovich","5"
"Cybersecurity Analyst","Dementyev Vilen Albertovich","3"
"Software Developer","Petukhov Arkady Matveyevich","5"
"Web Developer","Evseev Adolf Damirovich","4"
"Software Developer","Emelyanov Terenty Kirillovich","4"
"Mobile App Developer","Pavlov Miron Anatolyevich","5"
"Web Developer","Ovchinnikova Yulanta Sozonovna","5"
"Database Administrator","Bobyleva Emma Arsentievna","3"
"Database Administrator","Fadeeva Yanita Ulebovna","5"
"Web Developer","Yakovleva Polina Artemovna","5"
"Database Administrator","Smirnova Kira Dmitrievna","3"
"Machine Learning Engineer","Bogdanova Sofia Mikhailovna","3"
"Software Developer","Danilov Nikolay Vladislavovich","5"
"Software Developer","Pankratov Mikhail Mikhailovich","3"
"Web Developer","Morozova Sofya Leonidovna","4"
"Mobile App Developer","Ryabov Dmitry Mikhailovich","5"
"Database Administrator","Sokolov Yaroslav Vadimovich","4"
"Mobile App Developer","Popov Ilya Mikhailovich","3"
"Database Administrator","Lebedeva Victoria Konstantinovna","3"
"Database Administrator","Danilov Ermolai Natanovich","5"
"Mobile App Developer","Maximov Eldar Demyanovich","3"
"Mobile App Developer","Dementyev Vilen Albertovich","5"
"Web Developer","Petukhov Arkady Matveyevich","5"
"Cybersecurity Analyst","Evseev Adolf Damirovich","3"
"Machine Learning Engineer","Emelyanov Terenty Kirillovich","5"
"Machine Learning Engineer","Pavlov Miron Anatolyevich","3"
"Web Developer","Ovchinnikova Yulanta Sozonovna","3"
"Machine Learning Engineer","Bobyleva Emma Arsentievna","3"
"Cybersecurity Analyst","Fadeeva Yanita Ulebovna","4"
"Web Developer","Yakovleva Polina Artemovna","5"
"Cybersecurity Analyst","Smirnova Kira Dmitrievna","4"
"Cybersecurity Analyst","Bogdanova Sofia Mikhailovna","3"
"Cybersecurity Analyst","Danilov Nikolay Vladislavovich","4"
"Software Developer","Pankratov Mikhail Mikhailovich","3"
"Web Developer","Morozova Sofya Leonidovna","3"
"Machine Learning Engineer","Ryabov Dmitry Mikhailovich","3"
"Web Developer","Sokolov Yaroslav Vadimovich","3"
"Database Administrator","Popov Ilya Mikhailovich","5"
"Database Administrator","Lebedeva Victoria Konstantinovna","3"
